YER020W	YER145C
YDL160C	YOR204W
YLR083C	YFR051C
YDL212W	YLR350W
YIL043C	YML012W
YJL151C	YIL124W
YGL040C	YGL040C
YKR007W	YEL051W
YCR030C	YCR030C
YMR105C	YMR105C
YAR002C-A	YOR016C
YDL182W	YDL182W
YLR370C	YNR035C
YGL077C	YPL246C
YGR229C	YDR170C
YGR138C	YHR094C
YDL131W	YDL182W
YLR200W	YML094W
YER099C	YKL181W
YDR032C	YML072C
YML012W	YOR165W
YDR032C	YGR130C
YKR048C	YKR048C
YGL011C	YOR362C
YGR054W	YOR204W
YAR002C-A	YHR039C
YLR438C-A	YPR072W
YGL023C	YKR007W
YGR163W	YKR007W
YBR207W	YEL013W
YCR093W	YCR093W
YLR330W	YLR330W
YMR272C	YHR039C
YIR012W	YPR016C
YDR032C	YOR273C
YBR256C	YBR256C
YBR106W	YDR297W
YMR272C	YLR350W
YBL011W	YBR002C
YBR106W	YHR094C
YLR447C	YKL080W
YGL203C	YER145C
YFR024C-A	YHR016C
YDL100C	YGL020C
YNL255C	YNR051C
YOR095C	YOR095C
YCR093W	YNL288W
YCR095C	YHL029C
YBR041W	YJL151C
YGR020C	YGR106C
YBL102W	YJL178C
YGL055W	YGL055W
YAL053W	YDL222C
YIR038C	YOL147C
YBR006W	YBR006W
YGL014W	YGL014W
YDR170C	YER166W
YHR089C	YOR004W
YLR337C	YLR370C
YIL027C	YJL192C
YKL145W	YGL048C
YKL008C	YKL008C
YPL004C	YPL221W
YML016C	YML106W
YFR040W	YMR120C
YGL153W	YOL147C
YDR060W	YOR206W
YML056C	YML056C
YPR113W	YPR113W
YPL101W	YPL101W
YDR100W	YPL246C
YDL212W	YML038C
YGL195W	YIL138C
YDL160C	YGR054W
YNR051C	YOR204W
YMR105C	YEL051W
YBR267W	YGL099W
YDR293C	YOR204W
YNL265C	YNL265C
YIL034C	YNR035C
YHR027C	YOR117W
YJL151C	YML013W
YGL203C	YER166W
YNL255C	YMR120C
YGR105W	YEL051W
YDR032C	YLR332W
YKL068W	YJL061W
YAR002C-A	YBR106W
YPR029C	YGL206C
YMR120C	YNL281W
YKL172W	YOR206W
YDR032C	YMR120C
YBL017C	YDR100W
YDL236W	YMR120C
YGR284C	YOR016C
YIL034C	YIL034C
